批次	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2	中文译名3	备注
第1批（2013）	序号	领域	外语词缩略语	外语词全称	中文译名	或译为		
	1		AIDS	acquired immunodeficiency syndrome	艾滋病			
	2		E-mail	electronic mail	电子邮件	电邮		
	3		GDP	gross domestic product	国内生产总值			
	4		IQ	intelligence quotient	智商			
	5		IT	information technology	信息技术			
	6		OECD	Organization for Economic Co-operation and Development	经济合作与发展组织	经合组织		
	7		OPEC	Organization of the Petroleum Exporting Countries	石油输出国组织	欧佩克		
	8		PM2.5	particulate matter	细颗粒物			
	9		WHO	World Health Organization	世界卫生组织	世卫组织		
	10		WTO	World Trade Organization	世界贸易组织	世贸组织		
第2批（2014）	序号	领域	外语词缩略语	外语词全称	中文译名	或译为		
	1		UN	United Nations	联合国			
	2		UNGA	United Nations General Assembly	联合国大会	联大		
	3		UN Secretariat	United Nations Secretariat	联合国秘书处			
	4		UNICJ	United Nations International Court of Justice	联合国国际法院	国际法院		
	5		UNCTAD	United Nations Conference on Trade and Development	联合国贸易和发展会议	联合国贸发会议		
	6		IAEA	International Atomic Energy Agency	国际原子能机构			
	7		OPCW	Organisation for the Prohibition of Chemical Weapons	禁止化学武器组织	禁化武组织		
	8		ICAO	International Civil Aviation Organization	国际民用航空组织	国际民航组织		
	9		ILO	International Labour Organization	国际劳工组织			
	10		IMO	International Maritime Organization	国际海事组织			
	11		ITU	International Telecommunication Union	国际电信联盟	国际电联		
	12		UNWTO	United Nations World Tourism Organization	世界旅游组织			
	13		UPU	Universal Postal Union	万国邮政联盟	万国邮联		
	14		WIPO	World Intellectual Property Organization	世界知识产权组织			
	15		IFC	International Finance Corporation	国际金融公司			
	16		UNGEGN	United Nations Group of Experts on Geographical Names	联合国地名专家组			
第3批（2014）	序号	领域	外语词缩略语	外语词全称	中文译名	或译为		
	1			Committee on Non-Governmental Organizations	联合国非政府组织委员会			
	2		DFS	Department of Field Support	联合国外勤支助部	联合国外勤部		
	3		DM	Department of Management	 联合国管理事务部	联合国管理部		
	4		DPKO	Department of Peacekeeping Operations	联合国维持和平行动部	联合国维和部		
	5		DPA	Department of Political Affairs	联合国政治事务部	联合国政治部		
	6		EOSG	Executive Office of the Secretary-General	联合国秘书长办公厅			
	7		IBRD	International Bank for Reconstruction and Development	国际复兴开发银行			
	8		IDA	International Development Association	国际开发协会			
	9			International Law Commission of United Nations	联合国国际法委员会			
	10			Military Staff Committee	安理会军事参谋团	安理会军参团		
	11		OCHA	Office for the Coordination of Humanitarian Affairs	联合国人道主义事务协调厅	联合国人道协调厅		
	12		OIOS	Office of Internal Oversight Services	联合国内部监督事务厅	联合国监督厅		
	13		OLA	Office of Legal Affairs	联合国法律事务厅	联合国法律厅		
	14			Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization	全面禁止核试验条约组织筹备委员会	禁核试组织筹委会		
	15		UNON	United Nations Office at Nairobi	联合国内罗毕办事处			
	16		UNOV	United Nations Office at Vienna	联合国维也纳办事处			
	17		UNOPS	United Nations Office for Project Services	联合国项目事务厅	联合国项目厅		
	18		UNSSC	United Nations System Staff College	联合国系统职员学院			
	19		UNU	United Nations University	联合国大学			
	20			World Bank	世界银行			
	21			World Bank Group	世界银行集团	世行集团		
	22		WMO	World Meteorological Organization	世界气象组织			
第4批（2016）	序号	领域	外语词形	外语词全称	中文译名1	中文译名2		
	1		3D	three dimensions	三维	3维		
	2		4D	four dimensions	四维	4维		
	3		APEC	Asia-Pacific Economic Cooperation	亚太经济合作组织	亚太经合组织		
	4		ATM	automatic teller machine	自动柜员机	自动取款机		
	5		BRT	bus rapid transit	快速公交系统	快速公交		
	6		CBD	central business district	中心商务区	中央商务区		
	7		CEO	chief executive officer	首席执行官			
	8		CFO	chief financial officer	首席财务官			
	9		CPA	certified public accountant	注册会计师			
	10		CPI	consumer price index	消费者价格指数	消费价格指数		
	11		EMS	express mail service	邮政特快专递	邮政快递		
	12		FAO	Food and Agriculture Organization of the United Nations	联合国粮食及农业组织	联合国粮农组织		
	13		G20	Group of Twenty	二十国集团	20国集团		
	14		HIV	human immunodeficiency virus	人类免疫缺陷病毒	艾滋（病）病毒		
	15		ICU	intensive care unit	重症监护室	重症监护病房		
	16		IMF	International Monetary Fund	国际货币基金组织			
	17		IOC	International Olympic Committee	国际奥林匹克委员会	国际奥委会		
	18		MBA	Master of Business Administration	工商管理硕士			
	19		PM10	particulate matter 10	可吸入颗粒物			
	20		UNESCO	United Nations Educational, Scientific and Cultural Organization	联合国教育科学文化组织	联合国教科文组织		
	21		VIP	very important person	贵宾	要客		
	22		Wi-Fi	wireless fidelity	无线（局域）网	无线保真		
	23		WWF	World Wide Fund for Nature	世界自然基金会			
第5批（2017）	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2		备注
	1		CAC	Codex Alimentarius Commission	国际食品法典委员会			
	2		CTC	United Nations Security Council Counter-Terrorism Committee	联合国安全理事会反恐怖主义委员会	安理会反恐委员会		
	3		IEA	International Energy Agency	国际能源署			
	4		IPCC	Intergovernmental Panel on Climate Change	政府间气候变化专门委员会			
	5		ATP	Association of Tennis Professionals	国际男子职业网球协会			
	6		FIFA	Fédération Internationale de Football Association（法语）	国际足球联合会	国际足联		International Federation of Association Football（英语）
	7		IPC	International Paralympic Committee	国际残疾人奥林匹克委员会	国际残奥委会		
	8		ITF	International Tennis Federation	国际网球联合会	国际网联		
	9		WTA	Women's Tennis Association	国际女子职业网球协会			
	10		GEO	Group on Earth Observations	地球观测组织			
	11		ICO	International Council of Ophthalmology	国际眼科理事会			
	12		G7	Group of Seven	七国集团			
第6批（2019）	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2		
	1		FTA	Free Trade Agreement	自由贸易协定	自贸协定		
	2		FTA	Free Trade Area	自由贸易区	自贸区		
	3		M0		流通中现金			
	4		M&A	Mergers and Acquisitions	兼并收购	并购		
	5		EV	Electric Vehicle	电动汽车			
	6		AI	Artificial Intelligence	人工智能			
	7		IP电话	voice over internet protocol / IP telephony / Internet phone	网络电话			
	8		IPTV	Internet Protocol Television	网络电视			
	9		VR	Virtual Reality	虚拟现实			
	10		AR	Augmented Reality	增强现实			
	11		UHD	Ultra High Definition	超高清			
	12		R&D	Research and Development	研究与开发	研发		
	13		API	Air Pollution Index	空气污染指数			
	14		EQ	Emotional Quotient	情商			
	15		HR	Human Resources	人力资源			
	16		PE	Polyethylene	聚乙烯			
	17		IBF	International Boxing Federation	国际拳击联合会	国际拳联		
	18		γ刀	Gamma Knife	伽玛刀			
	19		γ射线	Gamma Ray	伽玛射线			
	20		OTC	Over-The-Counter(drug)	非处方(药)			
第7批（2019）	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2		
	1		ISO	International Organization for Standardization	国际标准化组织			
	2		SDR	Special Drawing Rights	特别提款权			
	3		PMI	Purchasing Managers' Index	采购经理人指数			
	4		PPI	Producer Price Index	生产价格指数			
	5		AMC	asset management company	资产管理公司			
	6		QE	Quantitative Easing	量化宽松			
	7		PTA	Preferential Trade Agreement	特惠贸易协定			
	8		PC	Personal Computer	个人计算机	个人电脑		
	9		CPU	Central Processing Unit	中央处理器			
	10		GPU	Graphics Processing Unit	图形处理器			
	11		RAM	Random Access Memory	随机存取存储器	随机存取器		
	12		BI	Business Intelligence	商务智能			
第8批（2019）	序号	类别	外语词缩略语	外语词全称	中文译名1	中文译名2		
	1	科技	APP, App, app	Application	应用程序/应用软件	应用		
	2	经济	IPO	Initial Public Offering	首次公开募股	首次公开发行股票		
	3	经济	PPP	Public-Private Partnership	政府与社会资本合作			
	4	经济	ETF	Exchange Traded Fund	交易型开放式指数基金	交易所交易基金		
	5	国际组织	TPP	Trans-Pacific Partnership Agreement	跨太平洋伙伴关系协定			
	6	经济	M2	Broad Money	广义货币供应量	广义货币		
	7	经济	FOF	Fund of Funds	基金中基金	母基金		
	8	经济	QDII	Qualified Domestic Institutional Investor	合格境内机构投资者			
	9	经济	QFII	Qualified Foreign Institutional Investor	合格境外机构投资者			
	10	科技	NFC	Near Field Communication	近场通信			
	11	科技	IDC	Internet Data Center	互联网数据中心			
	12	经济	MACD	Moving Average Convergence and Divergence	指数平滑移动平均线			
	13	社会生活	P+R, P&R	Park and Ride	停车换乘			
	14	经济	RQFII	RMB Qualified Foreign Institutional Investor	人民币合格境外机构投资者			
	15	经济	P/B, PBR	Price-to-Book Ratio	市净率	市账率		
	16	经济	LOF	Listed Open-Ended Fund	上市开放式基金	上市型开放式基金		
	17	社会生活	MPA	Master of Public Administration	公共管理硕士			
	18	经济	MPA	Macro Prudential Assessment	宏观审慎评估			
	19	经济	ROE	Return on Equity	净资产收益率	股权收益率		
	20	医学	CDC	Center for Disease Control and Prevention	疾病预防控制中心	疾控中心		
	21	科技	SSD	Solid State Disk, Solid State Drive	固态硬盘	固态盘		
	22	经济	GNP	Gross National Product	国民生产总值			
	23	经济	P/E, PER	Price Earnings Ratio	市盈率	本益比		
第9批（2020）	序号	领域	外语词缩略语	外语词全称	中文译名1	中文译名2		
	1		DC	Digital Currency	数字货币			
	2		EP	Electronic Payment	电子支付			
	3		CBDC	Central Bank Digital Currency	中央银行数字货币	央行数字货币		
	4		M1	Money Supply	狭义货币供应量	狭义货币		
	5		O2O	Online to Offline	线上到线下			
	6			Blockchain	区块链			
	7		BSN	Blockchain-based Service Network	区块链服务网络			
	8		DAPP / Dapp	Decentralized Application	去中心化应用			
	9		IOT	Internet of Things	物联网			
	10		DT	Data Technology	数据技术			
	11		AGV	Automated Guided Vehicle	自动导引车			
	12		ICT	information and communications technology	信息通信技术			
	13		ETC	Electronic Toll Collection	电子不停车收费	电子收费		
	14		VAR	Video Assistant Referee	视频助理裁判			
	15		BMI	Body Mass Index	身体质量指数	体重指数		
	16		AQI	Air Quality Index	空气质量指数			
	17		RCEP	Regional Comprehensive Economic Partnership	区域全面经济伙伴关系协定			
第10批（2020）	序号	领域	缩略语	外语词全称	中文译名1	中文译名2		
